"","Player","Position","Week 1","Week 2","Week 3","Week 4","Week 5","Week 6","Week 7","Week 8","Week 9","Week 10","Week 11","Week 12","Week 13","Week 14","Week 15","Week 16"
"218","Cameron Brate","TE",7.04,7.4,7.14,7.24,NA,6.95,7.76,7.3,7.04,7.63,7.21,7.34,7.47,7.21,7.01,7.01
"219","David Njoku","TE",7.01,6.65,6.71,6.81,7.46,7.04,6.94,6.62,7.1,7.1,NA,6.97,6.65,7.13,6.94,7.36
"220","Luke Willson","TE",7,6.47,6.44,6.44,6.62,NA,6.62,6.76,6.26,6.62,6.82,6.97,6.56,6.67,6.67,6.29
"221","Garrett Celek","TE",6.09,NA,NA,5.49,6.01,5.47,5.61,5.74,5.86,5.99,NA,NA,NA,5.89,5.84,5.97
"222","Charles Clay","TE",NA,6.3,5.79,5.82,6.35,6.02,6.24,6.1,6.44,6.3,NA,6.1,6.3,6.58,6.35,NA
"223","Jaylen Samuels Pit","TE",NA,6.03,5.88,5.98,5.88,5.88,NA,6.21,5.68,6,5.73,5.83,5.9,NA,NA,NA
"224","Ricky Seals-Jones","TE",NA,NA,NA,5.55,NA,NA,5.48,NA,NA,NA,5.5,NA,NA,NA,NA,NA
"225","Tyler Kroft","TE",NA,NA,NA,5.53,6.03,5.69,5.66,5.97,NA,NA,5.59,6.15,NA,NA,NA,5.85
"226","Seth DeValve","TE",NA,NA,NA,NA,5.56,NA,NA,NA,5.29,NA,NA,NA,NA,NA,NA,NA
"227","Hayden Hurst","TE",NA,NA,NA,NA,NA,NA,5.34,NA,5.34,NA,5.63,NA,NA,NA,NA,NA
"228","Ed Dickson","TE",NA,NA,NA,NA,NA,NA,NA,NA,5.36,NA,NA,NA,NA,NA,NA,NA
"229","Mike Gesicki","TE",NA,NA,NA,NA,NA,NA,NA,NA,5.26,NA,NA,NA,NA,NA,NA,NA
"230","Tyler Higbee","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49,NA,NA,NA,NA,NA
"231","Jacksonville","DST",9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57
"232","Philadelphia","DST",8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78
"233","Minnesota","DST",8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03
"234","Los Angeles Rams","DST",7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96
"235","Denver","DST",7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92
"236","Pittsburgh","DST",7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42,7.42
"237","New England","DST",6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68
"238","Houston","DST",6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59
"239","Tennessee","DST",6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57
"240","Los Angeles Chargers","DST",6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"241","Chicago","DST",6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48
"242","New Orleans","DST",6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38
"243","Seattle","DST",6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24
"244","Detroit","DST",6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19
"245","Cincinnati","DST",6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13
"246","Atlanta","DST",6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09
"247","Carolina","DST",5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97
"248","New York","DST",5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92
"249","Baltimore","DST",5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88
"250","Green Bay","DST",5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78
"251","Cleveland","DST",5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72
"252","Washington","DST",5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67
"253","Arizona","DST",5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59
"254","Kansas City","DST",5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
"255","Tampa Bay","DST",5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27
"256","Greg Zuerlein","K",11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37
"257","Justin Tucker","K",10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7
"258","Stephen Gostkowski","K",10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52,10.52
"259","Harrison Butker","K",9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82,9.82
"260","Matt Bryant","K",9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77,9.77
"261","Jake Elliott","K",9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68
"262","Wil Lutz","K",9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57,9.57
"263","Dan Bailey","K",9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54
"264","Matt Prater","K",9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42
"265","Josh Lambo","K",9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32
"266","Kai Forbath","K",9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
"267","Robbie Gould","K",9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1
"268","Ryan Succop","K",8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88
"269","Caleb Sturgis","K",8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84
"270","Mason Crosby","K",8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64
"271","Sebastian Janikowski","K",8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63
"272","Ka'imi Fairbairn","K",8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45
"273","Chandler Catanzaro","K",8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11
"274","Graham Gano","K",7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93
"275","Brandon McManus","K",7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92
"276","Randy Bullock","K",7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78
"277","Stephen Hauschka","K",7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
"278","Dustin Hopkins","K",7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67
"279","Adam Vinatieri","K",7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67
"280","Jason Sanders","K",7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
